category,title,body
Interviews,Practice for Your Job Interview,"<h1><b>Practice for Your Job Interview</b></h1> <p></p> <p>The saying that ""practice makes perfect"" definitely applies to preparing for a job interview. We all know how stressful the interview process can be, but practicing ahead of time can give you confidence and make the interview experience a smooth one. The more you work on your interviewing skills, the more likely you are to appear ready in the eyes of a hiring manager, and that confidence could be the edge that gets you the job.</p> <p></p> <p>There are several ways you can practice for an upcoming interview. Lets take a look at a few of the best techniques. </p> <p></p> <h3><b>Go Through Common Interview Questions</b></h3> <p></p> <p>One of the best ways to prepare for a job interview is to review a list of <a href=""http://www.western.edu/academics/career-services/interview-preparation.html"">common interview questions</a> and come up with good answers. Get a few sheets of paper and actually write down your responses. This will help you commit what you are saying to memory and will give you a chance to really think about how you want to answer those questions. </p> <p></p> <p>Reviewing questions ahead of time will minimize the chances you will be caught off-guard by a question. While each interviewer is going to have a different style and might ask different questions, running through sample questions will put you in the rhythm of selling yourself correctly.</p> <p></p> <p>Its also a not a bad idea to come up with a few questions of your own. Do a little background research on the company and put your list together. Interviewers typically ask if you have any questions, and it is a good idea to be prepared with a few of them when this question comes up. </p> <p></p> <h3><b>Try a Mock Interview</b></h3> <p></p> <p>Ask a friend to sit down with you and conduct a mock interview. This is a good way to practice and build your confidence. Print out a list of commonly asked interview questions, and ask your friend to ask each one. Set the stage properly for this mock interview. If you have a home office with a desk, you can set up a similar environment to the one youll be in during the interview. Dress for the part as well. This exercise is great for calming nerves. Once you walk into the real interview, you will feel a lot more comfortable since you have already gone through something similar. Mock interviews are a way to train your brain to get over nerves. </p> <p></p> <h3><b>An Exercise to Try</b></h3> <p></p> <p>Another way to improve your confidence and prepare for the interview is to take a sheet of paper and<a href=""http://www.careeronestop.org/ResumesInterviews/Interviews/GetReady.aspx"">write down all of the skills</a> that are mentioned in the job listings description on one side. On the other side of the paper write down all of the skills you have that match that position. This shows you whether or not you are a qualified candidate, and it can also help you sell yourself during the interview. Use this trick to tailor your experience for each employerbefore you send in your resume.</p> <p></p> <p>Before your next job interview, give a few of these practice techniques a try. You might be surprised at how prepared you will feel, and you may notice that your nerves have been replaced by feelings of confidence.</p>"
Resumes,Resume Tips: Avoid the Passive Voice,"<h1><b>Resume Tips: Avoid the Passive Voice</b></h1> <p>The problem with passive voice is the same problem that makes bureaucracies so inefficient and customer service so frustrating the glaring absence of someone to take responsibility. Many people resort to writing this way because they believe it sounds formal and professional. George Orwell astutely <a href=""https://www.mtholyoke.edu/acad/intrel/orwell46.htm"">lampooned this style of writing</a> in his still fresh essay, <i>Politics and the English Language</i>, advocating:</p><p>""Decide what impressions one's words are likely to make on another person. This last effort of the mind cuts out all stale or mixed images, all prefabricated phrases, needless repetitions, and humbug and vagueness generally.""</p><p>Orwell's 4th rule for writing effectively is clear on this point: ""Never use the passivewhere you can use the active."" Job seekers often resort to passive voice in order to avoid overuse of sentences that begin with ""I"" because that is another resume tip candidates will often hear. While there are times when passive voice can be valuable, it is good to know how the passive voice sounds in context and why it is in your best interest to avoid the passive voice in resumes and cover letters.</p> <h3>Turning Passive into Active </h3> <p>Passive voice means that the writer has moved the direct object or predicate nominative to the front of the sentence. As a result, the verb becomes compounded and the subject of the sentence is moved to an adverbial phrase in the end or is completely erased. ""I did it,"" is active. ""It was done by me,"" is passive. Let's take a look at a few common passive constructions and how active voice improves them.</p> <p><b>Passive:</b> 20 percent revenue growth was realized in our department over two years.</p> <p><b>Active:</b> My team realized 20 percent revenue growth over two years.</p> <p><b>Passive:</b> A promotion to Supervisor was awarded to me after only one year of service.</p> <p><b>Active:</b> After only one year, I earned a promotion to Supervisor.</p> <p><b>Passive:</b> Responsibility was recognized as one of my strengths.</p> <p><b>Active:</b> I am responsible.</p> <p>Passive voice eliminates or downplays the agency of the action. In your resume and cover letter, you don't want to come across as a spectator to your own career. Make sure you are inclusive about who helped you with phrases like ""my team,"" or ""our department"" but be sure to take credit for your best qualities and what you have accomplished.</p> <h3>When Passive is Good</h3> <p>The time when passive voice may be appropriate is when you want to draw attention to the result instead of you. Perhaps you want to make a point but your contribution to the accomplishment was not clear, as in:</p> <p>""All departmental sales goals were exceeded during my tenure there.""</p> <p>Another good reason to use passive voice is when the subject of the sentence is so complex that an active construction would lessen the impact. For example:</p> <p>""Over $50 million in audited savings were recognized by the accounting department in the first year alone due to a variety of employee suggestions that I implemented.""</p><p>The third case is where you or your accomplishments are the direct object of the sentence and the subject doesn't really matter, e.g.:</p><p>""My designs were awarded the top prize for three years in a row.""</p> <h3>Passive vs. Implied</h3><p>You will hear many conflicting resume tips, but<a href=""http://www.gse.harvard.edu/about/administration/careers/documents/Resumes.pdf"">resume advice</a> sites routinely stress the importance of using active voice. The Harvard Graduate School of Education, for example, puts itsuccinctly:</p><blockquote>""Describe your accomplishments in simple but powerful statements in active voice that emphasize the benefit to your<br>employer.""</blockquote><div title=""Page 2""><div><div><ul> </ul> </div> </div> </div><p>Make sure you understand the difference because some career sites confuse the term ""passive voice"" with ""implied subject."" Sentences that start with a verb like ""Managed a team..."" imply the subject ""I"" but are sometimes erroneously called passive constructions. These are perfectly acceptable, especially in bullet points. Just remember this: if whatever is at the start of your sentence is not the one doing the action, but the one that the action is being done to, that's a passive voice construction. It is a stiff, convoluted style that makes your resume or cover letter instantly forgettable. So find the action and the actors, switch around the order and prove to your new employer how active you really are.</p> <p><b>More info about passive voice:</b></p> <p><a href=""http://writingcenter.unc.edu/handouts/passive-voice/"">Passive Voice, The Writing Center, University of North Carolina at Chapel Hill</a></p> <p><a href=""http://www.plainlanguage.gov/howto/guidelines/bigdoc/fullbigdoc.pdf"">Use Active Voice, Federal Plain Language Guidelines, The Plain Language Action and Information Network</a></p> <p><a href=""http://www.aie.org/finding-a-career/writing-your-resume/100-great-resume-words.cfm"">Use action words and active voice in your resume to help grab the reader's attention, Adventures in Education</a></p><p><a href=""on http://www.gse.harvard.edu/about/administration/careers/documents/Resumes.pdf"">Career Services Office Quick Tips, Harvard Graduate School of Education</a></p>"
Job Search Tips,Job Search from Another City,"<h1><b>How to Search for a Job in Another City</b></h1><p></p><p>Are you looking for a job in another city? People are hired for jobs in other cities every day. So whats their secret? Whether youre looking for a job in the next city over or youre searching for a job in another state, there are several things you can do to help you land a job in another city.</p><p></p><ol start=""1""><li><b>Research</b>:Good research is the key to finding a new job, no matter where youre looking. Research your chosen location, research employers youre interested in working for and research income levels for the city (and job) for which youre doing the job search.</li><li><b>Target key employers in the area</b>:After youve done your research, seek out a few key employers to learn whether theyre hiring and if they provide relocation assistance. You can also utilize sites such as<a href=""http://www.glassdoor.com/index.htm"">GlassDoor.com</a> to find out information about certain companies, including salary averages. </li><li><b>Search job boards (national and local)</b>: Use job search engines such as<a href=""http://www.simplyhired.com/"">Simply Hired</a>and the classifieds ofthe citys local newspaper to find positions in your target location. Some sites have the ability to filter job postings for telecommuting positions, which could help ease the transition of moving to a new city. </li><li><b>Use your resume and cover letter</b>: Be upfront and honest with potential employers about your reason for seeking employment in another city, and explain your intention to move (or commuting plans, if youre close enough), including any time frames, delays or restrictions. Also, make sure to inform potential employers about why youre the best candidate for the job, local prospect or not. </li><li><b>Plan a visit</b>:Plan a visit to the city, especially if you havent been there before. While youre there, you can schedule times to meet or interview with employers, as well as check out public transportation, parking and potential housing, if necessary. </li><li><b>Network, network, network</b>:According to the U.S. Bureau of Labor Statistics, <a href=""http://www.examiner.com/article/networking-as-a-job-search-tool-part-2-join-professional-associations"">70 percent of all jobs are found through networking</a>. Utilizing your network, such as colleagues, friends and family, college roommates or clubs, fraternities or sororities, can be a good way to land a job. <a href=""http://www.quintcareers.com/long-distance_job-search.html"">Reaching out to anyone</a> in your network to discover promising connections in your target city can be a great help. At the very least, you might be able to find out about potential openings or get introduced to possible future employers.</li><li><b></b><b>Use Your Network To Get Introductions: </b>You can use your connections to meet face-to-face with hiring managers. Choose some companies that interest you, and focus on getting to know people within the company. Use <a href=""http://www.linkedin.com/"">LinkedIn</a> and programs such as<a href=""http://rapportive.com/"">Rapportive</a> to find the people you need to meet, and work with your network to get in touch with them. Once you know people within your target companies, you can ask them for recommendations.</li><li> <p><b>Show Employers You are Serious about Moving: </b>There are several things you can do to show employers you are able and willing to relocate. Set a timetable for moving. Share your plans with the employer. Explain to them how deep your network is, and let them know when you are ending your current job. Above all, show them how excited and passionate you are about working in their town.</p></li></ol><p></p><p><a></a>Also, <a href=""http://money.usnews.com/money/blogs/outside-voices-careers/2011/08/22/how-to-conduct-a-long-distance-job-search"">stay flexible</a> with travel dates and start dates. Flexibility can mean the difference between a foot in the door and a closed door.</p><p></p><p>Of course, these are just a few tips. Proper planning, patience and perseverance are required and will greatly benefit you when you search for a job that is located in another city.</p><p></p><p></p><p></p>"
Interviews,How to Explain a Gap in Your Resume,"<h1><b>How to Explain a Gap in Your Resume</b></h1><p>Recruiters want to see evidence that you are a reliable individual who is capable of holding down a job. However, that doesn't mean that you are destined to never get a job if you have a gap in your resume. It is possible to overcome and even spin a period of unemployment in a positive way when trying to find a job.</p><h3>Don't try to hide it</h3><div><p>Do not attempt to cover up the period when you weren't working. Lying about dates of employment is a bad idea, as recruiting companies are likely to find out that you lied when they check your references. Some job seekers with long out-of-work periods are tempted to remove dates from their resume altogether, but this is also not a good strategy. According to <a href=""http://www.nytimes.com/2010/02/28/jobs/28search.html"">Susan Ireland</a>, author of ""The Complete Idiots Guide to the Perfect Resume,"" recruiters often become suspicious when they receive a resume with no dates listed.</p></div><h3>Account for time out</h3><div><p>Being up front about gaps in your resume means that you have to explain them. Again, honesty is the best policy. If you took time away from work to take care of your family, you can list this in the personal section of your resume. Similarly, if you left the workforce to recover from an illness or injury, say you did so, but remember that you don't have to go into great detail about your health. The most important thing is not to leave time unaccounted for, as this can be a red flag to a potential employer.</p></div><h3>Accentuate the positive</h3><div><p>If you were engaged in volunteer work, training or consulting projects, then emphasize this productive use of time on your resume and during interviews. Be ready to talk about the experiences you had and the skills that you acquired during this period. Unpaid work can be listed on your resume under a general ""Experience"" heading, but keep in mind that some experts <a href=""http://www.huffingtonpost.com/kristin-maschka/resume-advice-after-a-car_b_869488.html"">advise against using the term ""volunteer.""</a></p></div><h3>Talking about career gaps during interviews</h3><div><p>During the interview, be open and acknowledge the gap, but focus on communicating your enthusiasm to get back into steady employment. Explain how the skills you gained both before and during your career break are relevant to the role for which you are applying. Learn to tell the story of your period of unemployment as a positive time of self-development, rather than dwelling on the circumstances that kept you out of work.</p></div><h3>Keep a positive attitude</h3><div>Many people expect to struggle to find a job after a career break. As a result, they are discouraged before they even start their search, especially with a gap in their resume. Don't fall into this trap! Update your resume to reflect the experiences you've had since your last position, network with old contacts to find out about opportunities and approach your job search with a positive attitude. Resume gaps are overcome everyday by motivated individuals who have something to offer an employer.</div>"
Job Search Tips,Use Social Media in Your Recruiting Strategy,"<p></p><div><div><h1>Use Social Media in Your Recruiting Strategy</h1></div></div><p>If your current recruiting strategy is not pulling in the types of job applicants you want, it's time to make a change. Social media is a tool that companies employ in creative ways to find new hires. If you have not yet tried it out, we offer these reasons to do so and some tips on getting started. <br></p> <h3>Why use social media when recruiting? </h3> <p>The point of using social media in the hiring process is to increase awareness of your openings by reaching a larger audience--one that's already interested in your organization. The more people you reach, the larger your pool of potential new hires becomes, giving you more options. This is especially helpful if you are looking for someone with a specialized skill that might be hard to find. With social media, there is always the chance someone who follows you has the skills you need or knows someone who does.<br></p> <p>Once you have the attention of your target audience, you need to keep it. As<a href=""http://www.forbes.com/sites/sylviavorhausersmith/2013/07/09/three-companies-nailing-social-mobile-for-hr/"">Forbes</a>suggests, your social media posts should engage potential applicants so they come back to read more. Tailor your content for the types of people you would like to hire. For example, write posts that educate followers on both the industry and your company. <br></p> <h3>What kinds of posts should you write? </h3> <p>Linking to informative articles on topics that your ideal new hire should be interested in is a good start. So is posting a link to your job openings. Mix up these updates in order to keep your target audience's attention. <br></p> <p>For example, if you want to show what it's like to work at your company, let your audience get to know the workplace and its staff firsthand. Post pictures and facts about current employees. Ask some of them to take the helm of your company's social media channels for a day for an even more personal touch. <br></p> <p>You might also consider making video clips that show brief interviews with employees or a day-in-the-life of staff members. You can also record a quick tour of the office or have the CEO introduce himself or herself on camera. In general, you can share anything that will put your company in a positive light. <br></p> <h3>How should you get started? </h3> <p><a href=""http://www.huffingtonpost.com/sajjad-masud/social-media-hiring-practices_b_1958974.html"">CEO Sajjad Masud</a> suggests finding out where your ideal new hires spend most of their time online. This could include Twitter, LinkedIn, Facebook, Pinterest, Tumblr, Instagram or Google+. If you do not have the time to update company profiles for every channel, focus on the few that you think will net you the highest returns. Not sure what those are? Ask around within your own company.</p> <p>According to <a href=""http://www.businessinsider.com/10-creative-recruiting-strategies-for-finding-great-hires-2010-2?op=1"">Business Insider</a>, you can narrow your applicant pool to sincerely interested candidates by inviting them to an event and seeing who shows up. You can use social media to send out invitations, such as through a status update on Facebook, in a group on LinkedIn or in a tweet. This is an easy way to start collecting contact information and resumes from candidates who are interested enough to go somewhere to meet you. <br></p> <p>The use of social media as a recruiting strategy is becoming commonplace. If you haven't tried it yet, you risk being left behind as your competitors use this effective tool to grab the attention of good candidates. Get your social media plan in place before you post your next job ad.</p>"
Resumes,Tough Interview Questions,"<h1><b>Tough Interview Questions</b></h1> <p>Preparing interview questions that reveal the potential and personality of a job applicant is a delicate business. Questions should be direct, open-ended and original without being irrelevant, offensive or legally actionable. Perhaps the most important piece of information about the quality of an applicant is how they will work with the existing team. How do you figure that out in just 30 minutes?</p> <p>Here are some tough interview questions that come to us via various resources such as the <a href=""http://www.sba.gov/community/blogs/4-interview-questions-get-heart-candidates-potential"">Small Business Administration</a>,along with the characteristics that these questions attempt to reveal.</p> <h3><b>How long before you become frustrated if you are not promoted? </b></h3> <p>This question is trying to discover how ambitious and committed candidates are to the company. Are they there for a paycheck while they look for something better, or do they see themselves in a leadership position? If the latter, are their goals realistic?</p> <h3><b>What happened when a customer or a co-worker became angry with you?</b></h3> <p>It happens, but nobody likes to talk about it. Conflict resolution, responsibility and reliability are all on the line in this answer. Red flags include blaming the customer, grand-standing, refusal to take accountability for the conflict and lack of self-awareness.</p> <h3><b>Have you ever gone home before all the work was done? Can you tell me more about that situation?</b></h3> <p>The first part is a closed-ended, yes/no question. Everything you have read probably recommends that you avoid these kinds of questions, but there is a specific reason for this one. If they try to glide past this question by saying ""No,"" they are either misrepresenting themselves or have never held a position of responsibility. If they answer ""Yes,"" as most will, listen carefully for positive signs of prioritization, communication skills and delegation.</p> <h3>Questions not to ask </h3> <p>There are some questions that are just too tough or that are not fair. The latest information from the <a href=""http://www.eeoc.gov/laws/practices/"">Equal Employment Opportunity Commission</a>specifies that""An employer may not base hiring decisions on stereotypes and assumptions about a person's race, color, religion, sex (including pregnancy), national origin, age (40 or older), disability or genetic information."" This seems straight-forward, but it turns out that some very common questions fall within these proscribed guidelines, such as:</p><h3><b>Where were you born and raised?</b></h3><p>This can be considered discriminatory both on the basis of national origin and of U.S. citizenship. Employers <i>can</i> ask if the candidate is legally able to work in the country, but not about the status of their residency.</p><h3><b>Do you have kids?</b></h3><p>An innocent and personable question outside the workplace, but candidates who don't make it to the next round can point to this as a discriminatory question based on age or parental status.</p><h3><b>Do you normally take a vacation around the holidays?</b></h3><p>Considering that so many companies operate 24/7 these days, many need employees to be available for customer support around the clock and around the calendar. Asking an applicant to specify which holidays they celebrate is a subtle form of discrimination based on religion. Instead ask about specific dates when the company needs coverage.</p> <p>Like prepping for a good meal, preparing tough but revealing interview questions takes thoughtful dedication and patience. By starting with examples of common situations on the job and likely problems the candidate will face, the tough questions will write themselves.</p>"
Interviews,How to Prepare for an Interview,"<h2>How to Prepare for an Interview</h2>The interview is your chance to meet candidates face to face and get a feel for how they might fit into your organization. To make the most of this opportunity, you need to prepare. Here are some basic tips that employers can use to prepare for an interview.<h3><b>Know What You're Looking For</b></h3><div>The first step in interview preparation is to know what you want in terms of skills, experience and personality. Make a list of characteristics that you are looking for in your ideal candidate.<h3><b>Review Resumes</b></h3><div>You should be familiar with the candidate's resume and cover letter before the interview begins. You'd be surprised by how many interviewers use the interview to read a candidate's resume thoroughly for the first time. Flicking through application details during the interview wastes time and also creates an unprofessional environment. Remember, the interview is a also chance for the candidate to assess your organization.</div><h3><b>Address Concerns</b></h3><div>Highlight parts of the resume that you want to ask the candidate about. When you go into an interview, you should know exactly what your concerns are about each candidate. By the end of the interview, there should be no unexplained red flags remaining on a candidate's resume. Sounds basic, but this is another one some interviewers don't do.</div><h3><b>Prepare Questions</b></h3><div>Asking the right questions is essential. Prepare a list beforehand so that you don't dry up in the middle of the interview. Try to use open-ended questions that encourage the applicant to talk about their skills and experiences using specific examples. For example, you could ask questions such as ""Tell me about a time when you successfully worked as part of a team"" to find out about the candidate's teamwork experience.</div><h3><b>Set the Schedule</b></h3><div>Schedule enough time to get all the information you need from each candidate without having to rush or skip over key details. Plan to spend a few minutes between interviews making notes, as you won't remember everything about each candidate, especially if you are interviewing more than a few people for the job.</div><div><br></div><div>By following these tips, you can conduct a professional interview that supplies the information you need to choose the best candidate. Next time your organization is hiring, give yourself plenty of time to prepare for an interview so you can make the right decision.</div></div>"
Career,Tips for Executive Recruiters,"<h1><b>Tips for Executive Recruiters</b></h1><p></p><p></p><p>You're hiring a top-level executive, and it's not something your small or mid-sized organization typically does. We have good news. Right now happens to be a really great time for organizations of all sizes to recruit successful, veteran executives.</p><p></p><p>Common sense says the largest, richest companies attract the best talent. The truth is that <a href=""http://www.inc.com/magazine/19990601/802.html/1"">small businesses today can offer executives a business environment that their larger counterparts cannot</a>. Smaller companies explore new and interesting business niches and are usually more flexible and far less tied down to a policy structure. Overall, they represent a fresh opportunity for growth.</p><p></p><p>When money is not a critical issue, many executives prefer to work on something they care about in lieu of bringing home a huge paycheck.</p><p></p><p>Here are some tips and tricks to help you attract top-of-the-line executives.</p><p></p><h3>Keep an eye on downsizing companies </h3>This is a great way to find unemployed talent. Look to business news sources for information, <a href=""http://www.inc.com/articles/1998/01/14567.html"">as well as organizations that help displaced executives</a>.<p></p><p></p><h3>Be ready to accommodate people </h3>If you can almost satisfy a potential executive, be willing to work with them to get them on board. If they are asking for more than you can afford, consider offering them a part-time or telecommuting position. Clark Hubbard of CSI Data Systems, for example, <a href=""http://www.inc.com/articles/1999/10/19252.html"">needed a CFO but couldn't afford the one he wanted</a>. He took an innovative approach and managed to make the hire at a lower pay by offering the CFO the use of his offices to meet with other clients.<br><h3>Network with executives </h3>Networking gives you the best opportunity to meet with high level executives, but you will have to change your usual networking strategy in order to meet the right people. Attend local events at museums, fundraisers and conferences. Many communities also have business networking groups that cater to executives and other high ranking company officials. Online networking over social sites such as LinkedIn also offers an opportunity to connect with executives on a one-on-one level. <br><h3>Write the right job description </h3>Tailoring a job description for an executive is a bit different than writing your standard job description. Include the actual job title in the description title. Instead of listing desired skills, experienceand abilities, write your job description to show how you define success at your organization and the overall expectations of the position. Executives are success-driven and competitive by nature and will be drawn to descriptions that focus on this aspect of the position. Use actual success factors that illustrate what you want the new executive to accomplish. If you want to increase your current sales by 25 percent, this needs to go in your description. <br><h3>Make your offer stand out from the crowd </h3>What makes your company attractive to a topexecutive? The answer should beyour corporate culture and the possibility to make a difference. If you want to entice an executive, you have to illustrate why they should take a chance on working for you. Whatever it is that makes your culture unique, this needs to be included in your job description and in your conversations with them.<p></p><p></p><p>Smaller companies have a lot to offer besides money. The excitement of a new venture in a promising field, the flexibility, the open culture. A young business is ready to grow, and many executives want to be a part of that growth. The value that veteran executives can bring to an inexperienced company is incalculable and well worth the time they may take to acquire.</p>"
Career,Do you Have the Right Job Title?,"<h1><b>Do You Have the Right Job Title?</b><br></h1><p>The most important element of a job ad is its title. The job title is the first thing a potential employee notices about the job listing, so it should be specific and accurately identify the available position. The right words will not only draw the right applicants, but they will improve visibility in search engines.</p><p>The best way to create a job title is to determine a relative keywordthis will be the word used in searches on both the Internet in general and on job search engines such as <a href=""http://www.simplyhired.com/"">Simply Hired</a>.</p><p><a href=""http://www.entrepreneur.com/article/225908"">Entrepreneur</a>suggests doing an in-depth job analysis. This requires listing both the mental and physical tasks involved, the reasoning for the job and all the required qualifications for the vacant position before creating the ad. Also, review the <a href=""http://www.occupationalinfo.org"">U.S. Department of Labors Dictionary of Occupational Titles</a> (DOT)for additional keywords to add to the job analysis. </p><p>Other factors that can be used in determining keywords include:</p><ul><li>What job titles are similar companies using?</li><li>What phrases are job seekers searching for?</li><li>Are applicants searching for industry-specific terms?</li><li>Is the job title relative to a geographic location?</li></ul><p></p><p>Analyzing keywords with a free tool, such as <a href=""https://adwords.google.com/ko/KeywordPlanner/Home"">Google Keyword Planner</a>, can provide detailed information on which words are searched more often while also suggesting others that might prove useful.<br></p><h3><b>Four Tips for Great Job Post Titles</b></h3><p></p><ol start=""1""><li><b>Keep it simple:</b> What position needs filling? Now is not the time for creative sales jargon. Do not abbreviate titles, or if the job has an acronym, only include the acronym after youve listed the title name.</li><li><b>Get specific: </b>The more specific the job title, the more likely applicants with that specific skillset are to see the posting and apply.</li><li><b>Make it reflect the jobs scope or responsibility:</b> Is this a part-time or temporary position? Does the job require a certain skill? Be sure to mention this in the title. Part-time or Spanish speaking positions open up the application to a whole other range of applicants who might not normally apply.</li><li><b>Indicate the required level of skill: </b>What separates a Junior from a Senior software developer is years of experience and breadth of knowledge. ""Director"" or ""Manager"" will appeal to different applicants, as well as those searching for those specific jobs via Internet search results.</li></ol><h3><b>Four Things NOT to Do</b></h3><ol start=""1""><li><b>Use too many keywords: </b>Using too many keywords is considered ""stuffing"" and can make the post look spammy and also lead to its deletion by job board moderators.</li><li><b>Use deceptive titles: </b>A title that does not coincide with a relative description takes away a companys credibility in the eyes of job applicants. It also confuses search engines, making it impossible to search and route traffic to the post.</li><li><b>Ask questions, include dollar amounts or list ""No Experience Required"":</b> These are all ways some companies mislead people and will keep qualified applicants away.</li><li><b>Use weird formatting and special characters: </b>Not only does this look like spam from all angles, but its also unprofessional. Matching search terms will be unpredictable.</li></ol><p></p><p>The body of the posting should include the job title as well as other related words in order to increase the relevance of the post. This will not only make it easier for qualified applicants to find the job listing, but will also increase the postings job board and search engine visibility.</p><p></p><p></p><p></p>"
Career,Do Classified Job Postings Work?,"<h1><b>Do Classified Job Postings Work?</b></h1><p></p><p>For employers, finding the right recruitment method is important for finding the right employee. In a world that's increasingly digital, old methods of hiring employees, such as classified job postings, are not the go-tos they once were. For decades classified job postings were a popular option for employers to seek out new talent, but in this day and age, do classified job postings even work? </p><p></p><p>With general internet job listing sites and niche recruitment sites gaining popularity, employers now have better, faster methods of recruiting than the traditional print classified job postings of yesteryear. But that doesnt necessarily mean classified job postings are no longer useful.</p><p></p><h3><b>Out With the Old, In With the New</b></h3><p></p><p>According to a Sources of Hire (SOH) <a href=""http://www.careerxroads.com/news/SourcesOfHire2013.pdf"">study by CareerXroads</a>, the number one source of hires for 2012 was referrals, with no distinction between employee referrals or non-employee referrals. Referrals made up 24.5 percent of hires in 2012. Print accounted for just 2.3 percent, although it did show a slight tick upward. Print rose from 2 percent in 2010 to the 2.3 percent in 2012.</p><p></p><p>The Newspaper Association of America <a href=""http://www.poynter.org/latest-news/business-news/the-biz-blog/100565/classified-ad-revenue-down-70-percent-in-10-years-with-one-bright-spot/"">reported in 2009</a> that recruitment advertising in print newspapers was one-tenth of what it was during the year 2000. Likely the economy, as well as the digital boom, contributed to the fall.</p><p></p><p>Online classified websites such as Craig's List and search engines such as <a href=""http://www.simplyhired.com/"">Simply Hired</a>are becoming more popular to both employers and job seekers. Not surprisingly, many print sources where classified job postings are listed also have online job boards that duplicate their ads, making it easier for employers and potential employees to connect as print becomes more obsolete. </p><p></p><p>Employers are less likely to seek out potential employees through print alone for reasons that include:</p><p></p><ul type=""disc""> <li>Print classified job listings are limited geographically.</li> <li>Lack of filtering process for resumes. Employers must look at each resume received. </li> <li><a href=""http://www.shiftgig.com/articles/classified-ads-print-or-online"">Cost-to-time ratio</a> of listing with print classifieds versus online classifieds. Print classifieds can cost upwards of $100 dollars or more and must be sent, accepted, and printed, which takes time. Online job boards are sometimes free and take significantly less time to post. </li> </ul><p></p><h3>Help Wanted Advantages</h3><p>There are advantages to using print classified job postings. Employers who are seeking local candidates might want to utilize print job postings. Employers can also feel assured that their print classified job posting wont disappear in a sea of other listings, as sometimes happens on online job boards and job posting sites. Small-town employers might benefit more from print classified job postings, as would employers who are hiring in a community with high newspaper readership numbers.</p><p></p><p>So do classified job postings work? Yes, but they have limitations. And though classified job postings have seen a decline due to the digital disruption of online job sites, they are still being utilized, albeit on a far smaller scale.</p><h1></h1><p><a href=""http://www.careerbuilder.com/share/aboutus/pressreleasesdetail.aspx?sd=2/20/2013&id=pr740&ed=12/31/2013""></a></p><p><a href=""http://www.careerbuilder.com/share/aboutus/pressreleasesdetail.aspx?sd=2/20/2013&id=pr740&ed=12/31/2013""></a></p>"
Career,The New Age of Recruiting,"<h2>The New Age of Recruiting</h2> <p>Perhaps you've heard the saying that the larger the database of potential applicants, the stronger the recruitment brand within your company? No? Not that common of a saying? Well, in any case, it's no longer true. Today it's easy to grow a candidate database with thousands of applicants, but there are times when none of those applicants is a worthy choice. The New Age of Recruiting is an ever-changing landscape where the goal is not to amass applicants, but to drive in the very best candidates for the positions available. It's a competitive market and only the very best recruiters will land the top candidates. </p> <h3>Recruiting isn't cheap</h3> <p>Studies conducted by <a href=""http://www.forbes.com/sites/joshbersin/2013/05/23/corporate-recruitment-transformed-new-breed-of-service-providers/"">Forbes</a> indicate that businesses are spending over $3,300 per hire. In fact, the same study indicates that businesses have increased their recruitment budgets by as much as six percent in order to find the ideal candidate for each position available. Each year, U.S. companies spend $72 billion on a variety of services and technologies to help with their talent search. In the new age of hiring applicants, the ability of a company to stay competitive links directly to investments made in HR. Businesses are spending big money to lure talent.</p> <h3>Technology at the helm </h3> <p>Everything from software focused on navigating thousands of applications in minutes to cloud-based recruiting technology that allows for easy sharing of applicant data is available. The presence of technology is growing within the recruitment world. This is good, because technology reduces the time-cost of screening candidates. Technology also allows for applicants from a worldwide database to connect.</p> <h3>Liability remains a factor</h3> <p>Employers face liability concerns thanks to regulations. Securing signatures for background checks and for reference checks is sometimes necessary. As the <a href=""http://www.nd.gov/hrms/managers/guide/reference.html"">State of North Dakota</a> states, the authority to request a verbal reference remains limited. That means applicants must be informed of your desire to conduct reference checks and should be given full disclosure of the types of information that the hiring manager plans to share. Some states have laws limiting the type of information that can be gathered from references, especially about criminal activity. Misleading an applicant or breaking their privacy can land a human resource department in hot water.</p> <h3>Recruitment is all about the strategy</h3> <p>Some companies tailor job ads and recruiting strategies around the specific generation of applicants they are targeting. For example, Generation Y is less interested in higher pay and more interested in a flexible work schedule and the ability to use their cell phones at work and at home. This is very different from older generations that focused on health care, retirement benefits and bigger paychecks. Knowing this, employers are targeting applicants with benefits designed to meet their needs. Dogs at work, exercise balls for chairs and in-house childcare are all amenities for a new generation.</p> Within the world of recruiting, these factors are becoming commonplace. As a hiring manager or employer, it is critical to ensure that the business has a recruitment plan that is going to drive the right talent to their hiring page. This new age of recruiting is one filled with strategy, technology, regulations and competition."
